Diameter,AddtlLen,BlkOrder
 1/4,1.250,2
 1/4,1.500,7
 1/4,1.063,16
 1/4,1.813,17
 1/4,1.313,19
 3/8,0.750,4
 3/8,0.938,8
 3/8,1.375,10
 3/8,1.063,13
 3/8,1.313,18
 1/2,1.063,6
 1/2,1.563,11
 1/2,0.875,12
 1/2,1.188,14
 1/2,1.250,15
 5/8,0.813,1
 5/8,0.938,3
 5/8,0.875,5
 5/8,1.250,9
 5/8,0.938,20
